日ID,日序,周次,阶段,Primary LQ,Secondary LQ,周次功能,核心生命问题,生命痛点,今日核心经文,P证据,L证据,J证据,NT-DIS原则,一句话主题,日类型,每日核心信息,今日反思入口,今日自我选择,今日实践,关系/伙伴反馈,使命连接,生命果子,证据等级,内容状态
W02D04,4,2,I 看见自己,LQ04,—,承认有限,面对不确定和失控，我怎么生活？,未来有太多变量，我希望先把结果掌控住才安心。,路12：22-32,罗8：18-28,路12：22-32,约14：1-6,看见→放手→信靠,不能掌控明天，就忠心活好今天。,对照,把自己的旧习惯与新约的方向放在一起看：新约不是消除不确定，而是在不能掌控的现实中信靠神、盼望并忠心生活。,我现在的做法，与今天看见的福音方向差在哪里？,我目前更像：①仍按旧标准生活 ②开始调整 ③已经在实践,做一个小调整，方向是：不能掌控明天，就忠心活好今天。,伙伴帮助辨认差距，不评判属灵程度。,让生命方向影响家庭、工作或群体。,在不确定中仍然忠心,A,待编写
W02D05,5,2,I 看见自己,LQ04,—,承认有限,面对不确定和失控，我怎么生活？,未来有太多变量，我希望先把结果掌控住才安心。,约14：1-6,罗8：18-28,路12：22-32,约14：1-6,看见→放手→信靠,不能掌控明天，就忠心活好今天。,行动,把今天的回应缩小成一个可执行动作：列出一件不可控之事与一件可行动之事，分别交托与完成。,今天我能做哪一个小而真实的改变？,今天的行动更像：①还没做 ②做了一点 ③认真完成了,今天完成一个“小步行动”：列出一件不可控之事与一件可行动之事，分别交托与完成。,伙伴只追踪一个具体行动有没有发生。,一个小行动，就是生命果子的起点。,在不确定中仍然忠心,A,待编写
W02D06,6,2,I 看见自己,LQ04,—,承认有限,面对不确定和失控，我怎么生活？,未来有太多变量，我希望先把结果掌控住才安心。,罗8：18-28,罗8：18-28,路12：22-32,约14：1-6,看见→放手→信靠,不能掌控明天，就忠心活好今天。,关系与传递,把生命放进关系里：今天谁会因为我的选择而受益、受伤或得到安慰？,我的选择会怎样影响身边一个具体的人？,在关系里我更像：①只顾自己 ②开始留意别人 ③主动做了一件事,把今天的行动带进一个真实关系；伙伴问一句：“今天你把什么交托了？”,我最近最想控制什么？它真的属于我的责任吗？,学习为别人提供稳定与盼望,在不确定中仍然忠心,A,待编写
W02D07,7,2,I 看见自己,LQ04,—,承认有限,面对不确定和失控，我怎么生活？,未来有太多变量，我希望先把结果掌控住才安心。,路12：22-32,罗8：18-28,路12：22-32,约14：1-6,看见→放手→信靠,不能掌控明天，就忠心活好今天。,回顾,回顾这一周：我有没有从这个生命问题走出一点新的方向？下一步只保留一个继续操练的重点。,这周什么真的改变了一点？什么仍需要继续？,这一周我更像：①没有变化 ②有一个小变化 ③准备继续,写下“一个改变、一个未完成、一个下一步”。,伙伴问一句：“今天你把什么交托了？”,把这一周的学习带进下一周，而不是停在课程结束。,在不确定中仍然忠心,A,待编写
W03D01,1,3,I 看见自己,LQ03,—,重新定义成功,什么才算成功？,我容易用收入、地位、效率、孩子表现或别人羡慕来衡量人生。,腓3：7-14,林前1：26-31,路9：23-25,约15：1-8,对照→重新定义→选择,真正值得追求的，不只是得到更多，而是越来越认识基督、忠心走自己的路。,看见,先看见自己正在经历的“什么才算成功？”，不用急着改变，先辨认它在生活中什么时候出现。,今天什么时候最容易出现这个问题：“什么才算成功？”？,我今天更像：①没有留意 ②已经看见 ③正在面对,记录一次真实场景，只写“发生了什么”，不急着评价自己。,可以只分享一个真实场景，不解释、不辩护。,先让福音进入自己的真实生活。,从自我成功转向忠心跟随,A,待编写
W03D02,2,3,I 看见自己,LQ03,—,重新定义成功,什么才算成功？,我容易用收入、地位、效率、孩子表现或别人羡慕来衡量人生。,林前1：26-31,林前1：26-31,路9：23-25,约15：1-8,对照→重新定义→选择,真正值得追求的，不只是得到更多，而是越来越认识基督、忠心走自己的路。,挖根,今天往里走一步：当“什么才算成功？”出现时，我最怕失去、最想抓住或最想证明的是什么？,如果暂时不急着解决，我真正担心的是什么？,我目前更像：①被反应推着走 ②开始辨认根源 ③愿意停下来,为今天发现的根源写下一句话：我真正害怕/抓住/证明的是______。,伙伴只问“你发现了什么？”，不急着给答案。,把自己的发现带进一个具体关系。,从自我成功转向忠心跟随,A,待编写
W03D03,3,3,I 看见自己,LQ03,—,重新定义成功,什么才算成功？,我容易用收入、地位、效率、孩子表现或别人羡慕来衡量人生。,腓3：7-14,林前1：26-31,路9：23-25,约15：1-8,对照→重新定义→选择,真正值得追求的，不只是得到更多，而是越来越认识基督、忠心走自己的路。,回经文,回到腓3：7-14：不要只问“这段经文说了什么”，也问“它正在重新怎样解释我的生活？”,这段经文有没有一句话，正在挑战我对“什么才算成功？”的原有理解？,经文今天对我更像：①有距离 ②击中一点 ③需要回应,用腓3：7-14安静5分钟，记下一句最需要带进生活的话。,小组分享一句经文如何进入自己的生活。,让经文从理解变成生活选择。,从自我成功转向忠心跟随,A,待编写
W03D04,4,3,I 看见自己,LQ03,—,重新定义成功,什么才算成功？,我容易用收入、地位、效率、孩子表现或别人羡慕来衡量人生。,路9：23-25,林前1：26-31,路9：23-25,约15：1-8,对照→重新定义→选择,真正值得追求的，不只是得到更多，而是越来越认识基督、忠心走自己的路。,对照,把自己的旧习惯与新约的方向放在一起看：新约没有取消工作与成就，而是重排生命价值秩序：认识基督、忠心跟随、服事与结果子。,我现在的做法，与今天看见的福音方向差在哪里？,我目前更像：①仍按旧标准生活 ②开始调整 ③已经在实践,做一个小调整，方向是：真正值得追求的，不只是得到更多，而是越来越认识基督、忠心走自己的路。,伙伴帮助辨认差距，不评判属灵程度。,让生命方向影响家庭、工作或群体。,从自我成功转向忠心跟随,A,待编写
W03D05,5,3,I 看见自己,LQ03,—,重新定义成功,什么才算成功？,我容易用收入、地位、效率、孩子表现或别人羡慕来衡量人生。,约15：1-8,林前1：26-31,路9：23-25,约15：1-8,对照→重新定义→选择,真正值得追求的，不只是得到更多，而是越来越认识基督、忠心走自己的路。,行动,把今天的回应缩小成一个可执行动作：把本周最重要的一件事排到最前面，其他事情降级。,今天我能做哪一个小而真实的改变？,今天的行动更像：①还没做 ②做了一点 ③认真完成了,今天完成一个“小步行动”：把本周最重要的一件事排到最前面，其他事情降级。,伙伴只追踪一个具体行动有没有发生。,一个小行动，就是生命果子的起点。,从自我成功转向忠心跟随,A,待编写
W03D06,6,3,I 看见自己,LQ03,—,重新定义成功,什么才算成功？,我容易用收入、地位、效率、孩子表现或别人羡慕来衡量人生。,林前1：26-31,林前1：26-31,路9：23-25,约15：1-8,对照→重新定义→选择,真正值得追求的，不只是得到更多，而是越来越认识基督、忠心走自己的路。,关系与传递,把生命放进关系里：今天谁会因为我的选择而受益、受伤或得到安慰？,我的选择会怎样影响身边一个具体的人？,在关系里我更像：①只顾自己 ②开始留意别人 ③主动做了一件事,把今天的行动带进一个真实关系；伙伴分享一次“重新排序”的具体决定。,如果没有人知道，我还会把这件事当成功吗？,让成功观影响家庭、工作和群体,从自我成功转向忠心跟随,A,待编写
W03D07,7,3,I 看见自己,LQ03,—,重新定义成功,什么才算成功？,我容易用收入、地位、效率、孩子表现或别人羡慕来衡量人生。,腓3：7-14,林前1：26-31,路9：23-25,约15：1-8,对照→重新定义→选择,真正值得追求的，不只是得到更多，而是越来越认识基督、忠心走自己的路。,回顾,回顾这一周：我有没有从这个生命问题走出一点新的方向？下一步只保留一个继续操练的重点。,这周什么真的改变了一点？什么仍需要继续？,这一周我更像：①没有变化 ②有一个小变化 ③准备继续,写下“一个改变、一个未完成、一个下一步”。,伙伴分享一次“重新排序”的具体决定。,把这一周的学习带进下一周，而不是停在课程结束。,从自我成功转向忠心跟随,A,待编写
W04D01,1,4,I 看见自己,LQ01,—,脱离评价,为什么我这么在意别人怎么看我？,被比较、被评价、被忽略时，很容易怀疑自己的价值。,加1：10,罗12：2,路14：7-11,约5：44,看见→辨认→重新定位,不要让别人的评价替你决定怎样生活。,看见,先看见自己正在经历的“为什么我这么在意别人怎么看我？”，不用急着改变，先辨认它在生活中什么时候出现。,今天什么时候最容易出现这个问题：“为什么我这么在意别人怎么看我？”？,我今天更像：①没有留意 ②已经看见 ③正在面对,记录一次真实场景，只写“发生了什么”，不急着评价自己。,可以只分享一个真实场景，不解释、不辩护。,先让福音进入自己的真实生活。,从人的目光转向基督,A,待编写
W04D02,2,4,I 看见自己,LQ01,—,脱离评价,为什么我这么在意别人怎么看我？,被比较、被评价、被忽略时，很容易怀疑自己的价值。,罗12：2,罗12：2,路14：7-11,约5：44,看见→辨认→重新定位,不要让别人的评价替你决定怎样生活。,挖根,今天往里走一步：当“为什么我这么在意别人怎么看我？”出现时，我最怕失去、最想抓住或最想证明的是什么？,如果暂时不急着解决，我真正担心的是什么？,我目前更像：①被反应推着走 ②开始辨认根源 ③愿意停下来,为今天发现的根源写下一句话：我真正害怕/抓住/证明的是______。,伙伴只问“你发现了什么？”，不急着给答案。,把自己的发现带进一个具体关系。,从人的目光转向基督,A,待编写
W04D03,3,4,I 看见自己,LQ01,—,脱离评价,为什么我这么在意别人怎么看我？,被比较、被评价、被忽略时，很容易怀疑自己的价值。,加1：10,罗12：2,路14：7-11,约5：44,看见→辨认→重新定位,不要让别人的评价替你决定怎样生活。,回经文,回到加1：10：不要只问“这段经文说了什么”，也问“它正在重新怎样解释我的生活？”,这段经文有没有一句话，正在挑战我对“为什么我这么在意别人怎么看我？”的原有理解？,经文今天对我更像：①有距离 ②击中一点 ③需要回应,用加1：10安静5分钟，记下一句最需要带进生活的话。,小组分享一句经文如何进入自己的生活。,让经文从理解变成生活选择。,从人的目光转向基督,A,待编写
W04D04,4,4,I 看见自己,LQ01,—,脱离评价,为什么我这么在意别人怎么看我？,被比较、被评价、被忽略时，很容易怀疑自己的价值。,路14：7-11,罗12：2,路14：7-11,约5：44,看见→辨认→重新定位,不要让别人的评价替你决定怎样生活。,对照,把自己的旧习惯与新约的方向放在一起看：人的认可可以成为关系的一部分，却不能成为生命最终尺度。,我现在的做法，与今天看见的福音方向差在哪里？,我目前更像：①仍按旧标准生活 ②开始调整 ③已经在实践,做一个小调整，方向是：不要让别人的评价替你决定怎样生活。,伙伴帮助辨认差距，不评判属灵程度。,让生命方向影响家庭、工作或群体。,从人的目光转向基督,A,待编写
W04D05,5,4,I 看见自己,LQ01,—,脱离评价,为什么我这么在意别人怎么看我？,被比较、被评价、被忽略时，很容易怀疑自己的价值。,约5：44,罗12：2,路14：7-11,约5：44,看见→辨认→重新定位,不要让别人的评价替你决定怎样生活。,行动,把今天的回应缩小成一个可执行动作：一次重要决定不先问“别人怎么看”，先问“忠心是什么”。,今天我能做哪一个小而真实的改变？,今天的行动更像：①还没做 ②做了一点 ③认真完成了,今天完成一个“小步行动”：一次重要决定不先问“别人怎么看”，先问“忠心是什么”。,伙伴只追踪一个具体行动有没有发生。,一个小行动，就是生命果子的起点。,从人的目光转向基督,A,待编写
W04D06,6,4,I 看见自己,LQ01,—,脱离评价,为什么我这么在意别人怎么看我？,被比较、被评价、被忽略时，很容易怀疑自己的价值。,罗12：2,罗12：2,路14：7-11,约5：44,看见→辨认→重新定位,不要让别人的评价替你决定怎样生活。,关系与传递,把生命放进关系里：今天谁会因为我的选择而受益、受伤或得到安慰？,我的选择会怎样影响身边一个具体的人？,在关系里我更像：①只顾自己 ②开始留意别人 ③主动做了一件事,把今天的行动带进一个真实关系；伙伴只反馈“你有没有忠心”，不评价结果。,我最怕谁不认可我？我在怕失去什么？,在关系中给予别人真实而不控制的肯定,从人的目光转向基督,A,待编写
W04D07,7,4,I 看见自己,LQ01,—,脱离评价,为什么我这么在意别人怎么看我？,被比较、被评价、被忽略时，很容易怀疑自己的价值。,加1：10,罗12：2,路14：7-11,约5：44,看见→辨认→重新定位,不要让别人的评价替你决定怎样生活。,回顾,回顾这一周：我有没有从这个生命问题走出一点新的方向？下一步只保留一个继续操练的重点。,这周什么真的改变了一点？什么仍需要继续？,这一周我更像：①没有变化 ②有一个小变化 ③准备继续,写下“一个改变、一个未完成、一个下一步”。,伙伴只反馈“你有没有忠心”，不评价结果。,把这一周的学习带进下一周，而不是停在课程结束。,从人的目光转向基督,A,待编写
W05D01,1,5,I 看见自己,LQ02,—,停止证明,为什么总觉得“还不够”？,得到更多之后，心里很快又出现新的缺口。,路12：13-21,腓4：11-13,路12：13-21,约一2：15-17,看见→辨认欲望→知足,拥有不能保证满足，学习知足与感恩。,看见,先看见自己正在经历的“为什么总觉得“还不够”？”，不用急着改变，先辨认它在生活中什么时候出现。,今天什么时候最容易出现这个问题：“为什么总觉得“还不够”？”？,我今天更像：①没有留意 ②已经看见 ③正在面对,记录一次真实场景，只写“发生了什么”，不急着评价自己。,可以只分享一个真实场景，不解释、不辩护。,先让福音进入自己的真实生活。,从匮乏感转向感恩与知足,A,待编写
W05D02,2,5,I 看见自己,LQ02,—,停止证明,为什么总觉得“还不够”？,得到更多之后，心里很快又出现新的缺口。,腓4：11-13,腓4：11-13,路12：13-21,约一2：15-17,看见→辨认欲望→知足,拥有不能保证满足，学习知足与感恩。,挖根,今天往里走一步：当“为什么总觉得“还不够”？”出现时，我最怕失去、最想抓住或最想证明的是什么？,如果暂时不急着解决，我真正担心的是什么？,我目前更像：①被反应推着走 ②开始辨认根源 ③愿意停下来,为今天发现的根源写下一句话：我真正害怕/抓住/证明的是______。,伙伴只问“你发现了什么？”，不急着给答案。,把自己的发现带进一个具体关系。,从匮乏感转向感恩与知足,A,待编写
W05D03,3,5,I 看见自己,LQ02,—,停止证明,为什么总觉得“还不够”？,得到更多之后，心里很快又出现新的缺口。,路12：13-21,腓4：11-13,路12：13-21,约一2：15-17,看见→辨认欲望→知足,拥有不能保证满足，学习知足与感恩。,回经文,回到路12：13-21：不要只问“这段经文说了什么”，也问“它正在重新怎样解释我的生活？”,这段经文有没有一句话，正在挑战我对“为什么总觉得“还不够”？”的原有理解？,经文今天对我更像：①有距离 ②击中一点 ③需要回应,用路12：13-21安静5分钟，记下一句最需要带进生活的话。,小组分享一句经文如何进入自己的生活。,让经文从理解变成生活选择。,从匮乏感转向感恩与知足,A,待编写
W05D04,4,5,I 看见自己,LQ02,—,停止证明,为什么总觉得“还不够”？,得到更多之后，心里很快又出现新的缺口。,路12：13-21,腓4：11-13,路12：13-21,约一2：15-17,看见→辨认欲望→知足,拥有不能保证满足，学习知足与感恩。,对照,把自己的旧习惯与新约的方向放在一起看：拥有更多不能成为生命安全感与价值的终极保障。,我现在的做法，与今天看见的福音方向差在哪里？,我目前更像：①仍按旧标准生活 ②开始调整 ③已经在实践,做一个小调整，方向是：拥有不能保证满足，学习知足与感恩。,伙伴帮助辨认差距，不评判属灵程度。,让生命方向影响家庭、工作或群体。,从匮乏感转向感恩与知足,A,待编写
W05D05,5,5,I 看见自己,LQ02,—,停止证明,为什么总觉得“还不够”？,得到更多之后，心里很快又出现新的缺口。,约一2：15-17,腓4：11-13,路12：13-21,约一2：15-17,看见→辨认欲望→知足,拥有不能保证满足，学习知足与感恩。,行动,把今天的回应缩小成一个可执行动作：这一周不为升级、购买或展示而行动一次。,今天我能做哪一个小而真实的改变？,今天的行动更像：①还没做 ②做了一点 ③认真完成了,今天完成一个“小步行动”：这一周不为升级、购买或展示而行动一次。,伙伴只追踪一个具体行动有没有发生。,一个小行动，就是生命果子的起点。,从匮乏感转向感恩与知足,A,待编写
W05D06,6,5,I 看见自己,LQ02,—,停止证明,为什么总觉得“还不够”？,得到更多之后，心里很快又出现新的缺口。,腓4：11-13,腓4：11-13,路12：13-21,约一2：15-17,看见→辨认欲望→知足,拥有不能保证满足，学习知足与感恩。,关系与传递,把生命放进关系里：今天谁会因为我的选择而受益、受伤或得到安慰？,我的选择会怎样影响身边一个具体的人？,在关系里我更像：①只顾自己 ②开始留意别人 ③主动做了一件事,把今天的行动带进一个真实关系；伙伴每次只问：“今天你感谢了什么？”,我所谓的“不够”，究竟缺的是东西，还是安全感？,把资源从自我证明转向给予,从匮乏感转向感恩与知足,A,待编写
W05D07,7,5,I 看见自己,LQ02,—,停止证明,为什么总觉得“还不够”？,得到更多之后，心里很快又出现新的缺口。,路12：13-21,腓4：11-13,路12：13-21,约一2：15-17,看见→辨认欲望→知足,拥有不能保证满足，学习知足与感恩。,回顾,回顾这一周：我有没有从这个生命问题走出一点新的方向？下一步只保留一个继续操练的重点。,这周什么真的改变了一点？什么仍需要继续？,这一周我更像：①没有变化 ②有一个小变化 ③准备继续,写下“一个改变、一个未完成、一个下一步”。,伙伴每次只问：“今天你感谢了什么？”,把这一周的学习带进下一周，而不是停在课程结束。,从匮乏感转向感恩与知足,A,待编写
W06D01,1,6,I 看见自己,LQ04,—,分辨忙乱,为什么我总被很多事情牵着走？,事情越多，越觉得每件都不能放下。,路10：38-42,弗5：15-17,路10：38-42,约15：4-5,看见→分辨→取舍,不是每件事都要抓住，先分辨今天真正重要的事。,看见,先看见自己正在经历的“为什么我总被很多事情牵着走？”，不用急着改变，先辨认它在生活中什么时候出现。,今天什么时候最容易出现这个问题：“为什么我总被很多事情牵着走？”？,我今天更像：①没有留意 ②已经看见 ③正在面对,记录一次真实场景，只写“发生了什么”，不急着评价自己。,可以只分享一个真实场景，不解释、不辩护。,先让福音进入自己的真实生活。,从忙乱转向分辨,B,待编写
W06D02,2,6,I 看见自己,LQ04,—,分辨忙乱,为什么我总被很多事情牵着走？,事情越多，越觉得每件都不能放下。,弗5：15-17,弗5：15-17,路10：38-42,约15：4-5,看见→分辨→取舍,不是每件事都要抓住，先分辨今天真正重要的事。,挖根,今天往里走一步：当“为什么我总被很多事情牵着走？”出现时，我最怕失去、最想抓住或最想证明的是什么？,如果暂时不急着解决，我真正担心的是什么？,我目前更像：①被反应推着走 ②开始辨认根源 ③愿意停下来,为今天发现的根源写下一句话：我真正害怕/抓住/证明的是______。,伙伴只问“你发现了什么？”，不急着给答案。,把自己的发现带进一个具体关系。,从忙乱转向分辨,B,待编写
W06D03,3,6,I 看见自己,LQ04,—,分辨忙乱,为什么我总被很多事情牵着走？,事情越多，越觉得每件都不能放下。,路10：38-42,弗5：15-17,路10：38-42,约15：4-5,看见→分辨→取舍,不是每件事都要抓住，先分辨今天真正重要的事。,回经文,回到路10：38-42：不要只问“这段经文说了什么”，也问“它正在重新怎样解释我的生活？”,这段经文有没有一句话，正在挑战我对“为什么我总被很多事情牵着走？”的原有理解？,经文今天对我更像：①有距离 ②击中一点 ③需要回应,用路10：38-42安静5分钟，记下一句最需要带进生活的话。,小组分享一句经文如何进入自己的生活。,让经文从理解变成生活选择。,从忙乱转向分辨,B,待编写
W06D04,4,6,I 看见自己,LQ04,—,分辨忙乱,为什么我总被很多事情牵着走？,事情越多，越觉得每件都不能放下。,路10：38-42,弗5：15-17,路10：38-42,约15：4-5,看见→分辨→取舍,不是每件事都要抓住，先分辨今天真正重要的事。,对照,把自己的旧习惯与新约的方向放在一起看：门徒不是控制所有事情，而是学习在忙乱中分辨主所看重的事。,我现在的做法，与今天看见的福音方向差在哪里？,我目前更像：①仍按旧标准生活 ②开始调整 ③已经在实践,做一个小调整，方向是：不是每件事都要抓住，先分辨今天真正重要的事。,伙伴帮助辨认差距，不评判属灵程度。,让生命方向影响家庭、工作或群体。,从忙乱转向分辨,B,待编写
W06D05,5,6,I 看见自己,LQ04,—,分辨忙乱,为什么我总被很多事情牵着走？,事情越多，越觉得每件都不能放下。,约15：4-5,弗5：15-17,路10：38-42,约15：4-5,看见→分辨→取舍,不是每件事都要抓住，先分辨今天真正重要的事。,行动,把今天的回应缩小成一个可执行动作：本周固定一段不被打扰的时间，做最重要的一件事。,今天我能做哪一个小而真实的改变？,今天的行动更像：①还没做 ②做了一点 ③认真完成了,今天完成一个“小步行动”：本周固定一段不被打扰的时间，做最重要的一件事。,伙伴只追踪一个具体行动有没有发生。,一个小行动，就是生命果子的起点。,从忙乱转向分辨,B,待编写
W06D06,6,6,I 看见自己,LQ04,—,分辨忙乱,为什么我总被很多事情牵着走？,事情越多，越觉得每件都不能放下。,弗5：15-17,弗5：15-17,路10：38-42,约15：4-5,看见→分辨→取舍,不是每件事都要抓住，先分辨今天真正重要的事。,关系与传递,把生命放进关系里：今天谁会因为我的选择而受益、受伤或得到安慰？,我的选择会怎样影响身边一个具体的人？,在关系里我更像：①只顾自己 ②开始留意别人 ③主动做了一件事,把今天的行动带进一个真实关系；伙伴检查一次“删掉了什么”。,哪些事情正在占据我的心，却不一定是我的托付？,为家庭与群体保留真实的在场,从忙乱转向分辨,B,待编写
W06D07,7,6,I 看见自己,LQ04,—,分辨忙乱,为什么我总被很多事情牵着走？,事情越多，越觉得每件都不能放下。,路10：38-42,弗5：15-17,路10：38-42,约15：4-5,看见→分辨→取舍,不是每件事都要抓住，先分辨今天真正重要的事。,回顾,回顾这一周：我有没有从这个生命问题走出一点新的方向？下一步只保留一个继续操练的重点。,这周什么真的改变了一点？什么仍需要继续？,这一周我更像：①没有变化 ②有一个小变化 ③准备继续,写下“一个改变、一个未完成、一个下一步”。,伙伴检查一次“删掉了什么”。,把这一周的学习带进下一周，而不是停在课程结束。,从忙乱转向分辨,B,待编写
